ID,Working title,Primary query hypothesis,Intent / role,Primary audience,Original asset,Mini brief / required coverage,Reviewer role,CTA,Internal links (post IDs),Status,Original planned date (superseded),Release policy,Actual launch timestamp,Content key,Prismic type,UID
01,How to License Business Data for AI: A Practical Guide,license business data for AI,Commercial / pillar,"Founder, COO",Process diagram,"Explain licensing versus ownership; eligibility; scope; preparation; buyer review; payment contingencies. Start with a concise conditional answer, not a revenue promise.",Commercial lead + counsel,Explore a data partnership,"02,03,04,08",Brief only — not generated,2026-09-22,Coordinated launch after all 24 articles are approved,TBD,corral-01,blog,TBD after route/schema audit
02,Can Your Company License Its Data? A Rights and Readiness Checklist,can I license my company data,Decision / eligibility,"COO, counsel",Rights and readiness checklist,"Separate possession from authority; customer agreements, employee records, third-party IP, geography and exclusions. Include yes/no/escalate gates; a checklist is not legal clearance.",Counsel + privacy lead,Discuss eligibility without uploading records,"01,04,07",Brief only — not generated,2026-09-24,Coordinated launch after all 24 articles are approved,TBD,corral-02,blog,TBD after route/schema audit
03,How Much Is Business Data Worth to AI Labs? What an Assessment Can—and Cannot—Tell You,business data valuation for AI,Commercial / valuation,"Founder, CFO",Valuation factor worksheet,"Discuss uniqueness, linked outcomes, usable history, rights, preparation costs, exclusivity and demand. Show qualitative scenarios, not unsupported dollar ranges. Distinguish gross licensing consideration from net proceeds.",Commercial lead + finance,Request a scoped assessment conversation,"01,02,06",Brief only — not generated,2026-09-29,Coordinated launch after all 24 articles are approved,TBD,corral-03,blog,TBD after route/schema audit
04,AI Data Licensing Agreement: 12 Terms Business Owners Should Review,AI data licensing agreement,Decision / legal,"Counsel, founder",Term-review table,"Cover parties, scope, rights, permitted purposes, exclusivity, onward sharing, security, retention, deletion, derived artifacts, fees and remedies. Explain which controls may not technically reverse model training. Not a legal template.",Counsel,Discuss licensing boundaries,"01,02,05,14",Brief only — not generated,2026-10-01,Coordinated launch after all 24 articles are approved,TBD,corral-04,blog,TBD after route/schema audit
05,Exclusive vs. Non-Exclusive AI Data Licensing: A Decision Framework,exclusive vs non exclusive data license,Comparison,"Founder, CFO, counsel",Scenario comparison worksheet,"Compare term, scope, permitted uses, minimum payment, opportunity cost and repeat licensing limits. Use labeled hypothetical scenarios and no guaranteed repeat revenue.",Counsel + finance,Discuss commercial trade-offs,"03,04,14",Brief only — not generated,2026-10-06,Coordinated launch after all 24 articles are approved,TBD,corral-05,blog,TBD after route/schema audit
06,What Happens During a Business-Data Assessment?,business data assessment,Commercial / process,"COO, IT",Metadata-only inventory template,"List systems, date ranges, record categories, approximate volumes and known restrictions. Begin with metadata only. Distinguish a proposed process from verified Rancher operations; describe sample-transfer gates conditionally.",Operations + security,Describe your systems; do not send data,"01,02,03",Brief only — not generated,2026-10-08,Coordinated launch after all 24 articles are approved,TBD,corral-06,blog,TBD after route/schema audit
07,De-Identification vs. Anonymization for AI Data Licensing,de identification vs anonymization AI data,Informational / risk,"Privacy, security, counsel",Technique and residual-risk table,"Explain pseudonymization, direct and indirect identifiers, free text, linked-record re-identification and validation. Name replacement alone is not anonymization. Link current primary regulator guidance with jurisdiction-specific review.",Privacy specialist + counsel,Discuss exclusions and review needs,"02,04,08",Brief only — not generated,2026-10-13,Coordinated launch after all 24 articles are approved,TBD,corral-07,blog,TBD after route/schema audit
08,What Data Should Never Be Included Without Further Review? An Exclusions Matrix,what data to exclude from AI training datasets,Decision / risk,"IT, counsel, COO",Exclude / restrict / escalate matrix,"Cover credentials, privileged material, HR records, customer confidential content, regulated data, third-party code and contractual restrictions. State that even ordinary workflow records require review.",Security + counsel,Map an initial excluded scope,"02,07,09",Brief only — not generated,2026-10-15,Coordinated launch after all 24 articles are approved,TBD,corral-08,blog,TBD after route/schema audit
09,Can Support Tickets Be Licensed for AI Training?,license support tickets for AI training,Use case / commercial,"Support operations, COO",Illustrative ticket-to-resolution schema,"Explain ticket, escalation, action and outcome fields; customer obligations; free-text review; exceptions and quality gates. Use invented records only; never claim Zendesk or Intercom integrations.",Support SME + privacy,Discuss support-record eligibility,"01,07,08,10",Brief only — not generated,2026-10-20,Coordinated launch after all 24 articles are approved,TBD,corral-09,blog,TBD after route/schema audit
10,What Is a Workflow Trajectory? From Support Ticket to Verified Resolution,workflow trajectory AI training data,Definition / technical,"Data buyer, technical founder",Synthetic cross-system workflow example,"Define trajectory versus isolated record; show timestamps, actions, state changes and outcome with stable fictional IDs. Include missing-context and failure examples. Distinguish observed history from verified reasoning.",Data engineer + support SME,Discuss a possible workflow dataset,"09,11,15",Brief only — not generated,2026-10-22,Coordinated launch after all 24 articles are approved,TBD,corral-10,blog,TBD after route/schema audit
11,Can Slack Messages and Email Be Licensed for AI Training?,license Slack data for AI training,Use case / commercial,"COO, IT, counsel",Communications review checklist,"Discuss authority, employee notice/rights, customer contracts, attachments, sensitive channels, retention and platform terms. Do not suggest exporting everything or assume platform access creates licensing rights.",Privacy + counsel,Discuss a narrowly scoped use case,"02,07,08,10",Brief only — not generated,2026-10-27,Coordinated launch after all 24 articles are approved,TBD,corral-11,blog,TBD after route/schema audit
12,"CRM and Sales Histories for AI Training: Useful Context, Difficult Boundaries",CRM data for AI training licensing,Use case / commercial,"RevOps, COO",Deal-history schema and exclusions,"Distinguish sales-process events from contact data; win/loss labels, incomplete stages, pricing confidentiality and customer restrictions. Show a fictional record chain; no assumed Salesforce/HubSpot connection.",RevOps SME + privacy,Discuss sales-workflow eligibility,"01,08,10",Brief only — not generated,2026-10-29,Coordinated launch after all 24 articles are approved,TBD,corral-12,blog,TBD after route/schema audit
13,Licensing Source Code and Engineering History to AI Labs: A Rights Checklist,license source code to AI labs,Use case / decision,"CTO, counsel",Repository rights checklist,"Cover employee/contractor assignments, dependency licenses, secrets, proprietary customer code, PR reviews and issue histories. Separate operating-company licensing from asset sales. No valuation figures without primary evidence.",Engineering lead + IP counsel,Discuss engineering-record eligibility,"02,04,08,10",Brief only — not generated,2026-11-03,Coordinated launch after all 24 articles are approved,TBD,corral-13,blog,TBD after route/schema audit
14,Can You License the Same Dataset More Than Once?,license same dataset multiple times,Decision / FAQ,"Founder, counsel",Contract scenario table,"Answer conditionally; exclusivity, field-of-use, territory, time, buyer obligations, refresh rights and overlapping records can constrain reuse. Focus on implementation rather than repeat the exclusivity overview.",Counsel + commercial lead,Review proposed repeat-use boundaries,"04,05,18",Brief only — not generated,2026-11-05,Coordinated launch after all 24 articles are approved,TBD,corral-14,blog,TBD after route/schema audit
15,How to Preserve Workflow Context While Reducing Privacy Risk,preserve context de identified workflow data,Technical / preparation,"Data engineer, security",Before/after synthetic workflow,"Explain stable pseudonymous IDs, ordering, joins and attachment review; privacy-utility trade-offs and linkage risks. Demonstrate why replacing names is insufficient and how exclusions affect utility.",Data engineer + privacy,Discuss preparation requirements,"07,08,10,16",Brief only — not generated,2026-11-10,Coordinated launch after all 24 articles are approved,TBD,corral-15,blog,TBD after route/schema audit
16,"AI Dataset Quality Checklist: Completeness, Outcomes, Provenance and Leakage",AI training dataset quality checklist,Technical / buyer,"AI data buyer, data engineer",Quality-review scorecard,"Define completeness, duplicates, label reliability, coverage, provenance and leakage checks. Publish illustrative acceptance tests; thresholds are buyer-specific, not verified Rancher standards.",Data scientist,Discuss dataset requirements,"10,15,17,20",Brief only — not generated,2026-11-12,Coordinated launch after all 24 articles are approved,TBD,corral-16,blog,TBD after route/schema audit
17,Training Data vs. Evaluation Data: Why the Intended Use Changes the License,training data vs evaluation data licensing,Comparison / technical,"AI buyer, counsel",Use-purpose comparison table,"Define fine-tuning versus held-out evaluation and permitted-use boundaries; separate datasets to avoid contamination. Explain how use affects documentation, controls and commercial discussions.",ML specialist + counsel,Discuss training or evaluation requirements,"04,10,16,20",Brief only — not generated,2026-11-17,Coordinated launch after all 24 articles are approved,TBD,corral-17,blog,TBD after route/schema audit
