"Section","Response","Evidence reference","Owner","Review state"
"Dataset identity and version","","","","Not reviewed"
"Origin and source systems","","","","Not reviewed"
"Authority and allowed uses","","","","Not reviewed"
"Coverage and collection history","","","","Not reviewed"
"Transformations and validation","","","","Not reviewed"
"Exclusions","","","","Not reviewed"
"Quality checks and limitations","","","","Not reviewed"
"Training/evaluation split policy","","","","Not reviewed"
"Access and transfer conditions","","","","Not reviewed"
"Retention and deletion limits","","","","Not reviewed"
"Responsible contact","","","","Not reviewed"
