"Content key","Article","Publish time (America/New_York)","Publish time (UTC)","Prismic release ID"
"corral-02","Can your company license its data?","Sep 17, 2026, 9:16 AM","2026-09-17T13:16:00.000Z","aqq-vxUAAM47V0p6"
"corral-03","What determines the value of business data?","Sep 17, 2026, 12:05 PM","2026-09-17T16:05:00.000Z","aqq-xRUAAIk8V0qg"
"corral-05","Exclusive or non-exclusive data licensing?","Sep 17, 2026, 4:51 PM","2026-09-17T20:51:00.000Z","aqq-yRUAANA6V0rC"
"corral-06","What happens during a business-data assessment?","Sep 18, 2026, 9:51 AM","2026-09-18T13:51:00.000Z","aqq-zRUAALQ7V0rl"
"corral-07","De-identification and anonymization are different","Sep 18, 2026, 12:32 PM","2026-09-18T16:32:00.000Z","aqq-0RUAAIk8V0sE"
"corral-08","What to exclude from an AI training dataset","Sep 18, 2026, 4:32 PM","2026-09-18T20:32:00.000Z","aqq-1hUAABQ6V0st"
"corral-09","Can support tickets be licensed for AI training?","Sep 21, 2026, 9:38 AM","2026-09-21T13:38:00.000Z","aqq-2hUAAIk8V0tI"
"corral-10","What is a workflow trajectory?","Sep 21, 2026, 12:59 PM","2026-09-21T16:59:00.000Z","aqq-3hUAAIk8V0tg"
"corral-11","Can Slack messages and email be licensed for AI?","Sep 21, 2026, 4:04 PM","2026-09-21T20:04:00.000Z","aqq-4hUAAFw8V0t4"
"corral-12","CRM histories need more than contact records","Sep 22, 2026, 9:11 AM","2026-09-22T13:11:00.000Z","aqq-5hUAAIk8V0uQ"
"corral-13","A rights checklist for licensing engineering data","Sep 22, 2026, 12:52 PM","2026-09-22T16:52:00.000Z","aqq-6hUAAKQ7V0um"
"corral-14","Can you license the same dataset more than once?","Sep 22, 2026, 4:10 PM","2026-09-22T20:10:00.000Z","aqq-7hUAAKQ7V0u-"
"corral-15","Preserve workflow context while reducing privacy risk","Sep 23, 2026, 9:12 AM","2026-09-23T13:12:00.000Z","aqq-8hUAANA6V0va"
"corral-16","How to review AI dataset quality","Sep 23, 2026, 12:58 PM","2026-09-23T16:58:00.000Z","aqq-9hUAABQ6V0vz"
"corral-17","Training and evaluation data need different rules","Sep 23, 2026, 4:51 PM","2026-09-23T20:51:00.000Z","aqq--RUAAM47V0wJ"
"corral-18","Direct licensing or a data partner?","Sep 24, 2026, 9:22 AM","2026-09-24T13:22:00.000Z","aqq-_hUAANA6V0wh"
"corral-19","Business-data licensing questions answered","Sep 24, 2026, 12:08 PM","2026-09-24T16:08:00.000Z","aqq_AhUAABQ6V0w5"
"corral-21","A fictional workflow-data assessment","Sep 24, 2026, 4:16 PM","2026-09-24T20:16:00.000Z","aqq_ChUAAFw8V0xj"
"corral-22","Security questions before any data transfer","Sep 25, 2026, 9:54 AM","2026-09-25T13:54:00.000Z","aqq_ERUAANA6V0yK"
"corral-23","Why a dataset might not qualify for licensing","Sep 25, 2026, 12:10 PM","2026-09-25T16:10:00.000Z","aqq_FBUAAFw8V0yb"
"corral-24","Build a business-data licensing readiness plan","Sep 25, 2026, 4:19 PM","2026-09-25T20:19:00.000Z","aqq_GBUAAIk8V0yz"
